daunting	['dɔ:ntɪŋ]	adj.使人畏缩的,使人气馁的,令人怯步的
masquerade	[,mɑːskə'reɪd; ,mæs-]	vt.化装,乔装n.伪装,化妆舞会vi.化装,伪装
a pipe dream	[]	
excessively	[ek'sesɪvlɪ]	adv.过分地,极度
finesse	[fɪ'nes]	n.策略,纤细,灵巧vt.巧妙处理,以偷牌方式先出vi.偷牌,施展巧计
by extension	[]	
bumping up	[]	
demise	[dɪ'maɪz]	n.死亡,终止,转让,传位vt.遗赠,禅让
existential	[,egzɪ'stenʃ(ə)l]	adj.存在主义的,有关存在的,存在判断的
vacuously	[]	
pun	[pʌn]	n.双关语,俏皮话vt.捣实敲打vi.说双关语,说俏皮话n.(Pun)人名,(柬)本,(泰)汶
abruptly	[ə'brʌptli]	adv.突然地,唐突地
gratuitous	[grə'tjuːɪtəs]	adj.无理由的,无端的,免费的
per se	[,pə:'sei, -'si:]	本身,自身
bona fide	[,bəunə'faidi, 'bɔ:nəfaid]	adj.善意的,真实的,真诚的adv.善意地,真实地,真诚地
atypical	[eɪ'tɪpɪk(ə)l; æ-]	adj.非典型的,不合规则的
in short	[]	
carry out	[]	
pass over	[]	
aforementioned	[əfɔː'menʃənd]	adj.上述的,前面提及的
write-through	[]	
mutate	[mjuː'teɪt]	vt.改变,使突变vi.变化,产生突变
iron out	[]	
get rid of	[]	
in plain terms	[]	
veteran	['vet(ə)r(ə)n]	n.老兵,老手,富有经验的人,老运动员adj.经验丰富的,老兵的
superfluous	[suː'pɜːflʊəs; sjuː-]	adj.多余的,不必要的,奢侈的
sidestep	['saɪdstep]	n.台阶,横跨的一步vt.回避,横跨一步躲避vi.回避问题,侧向跨步
surmise	[sə'maɪz]	vt.猜测,推测vi.猜测,认为n.推测,猜度
deviate	['diːvɪeɪt]	vi.脱离,越轨vt.使偏离
facilitate	[fə'sɪlɪteɪt]	vt.促进,帮助,使容易
entail	[ɪn'teɪl; en-]	vt.使需要,必需,承担,遗传给,蕴含n.引起,需要,继承
by and large	[]	
elusive	[ɪ'l(j)uːsɪv]	adj.难懂的,易忘的,逃避的,难捉摸的
decompose	[diːkəm'pəʊz]	vt.分解,使腐烂vi.分解,腐烂
parlance	['pɑːl(ə)ns]	n.说法,用语,语调,发言
kick off	[]	
bizarre	[bɪ'zɑː]	adj.奇异的（指态度,容貌,款式等）
trip up	[]	
subtle	['sʌt(ə)l]	adj.微妙的,精细的,敏感的,狡猾的,稀薄的
crop up	[]	
irrespective	[ɪrɪ'spektɪv]	adj.无关的,不考虑的,不顾的
drawback	['drɔːbæk]	n.缺点,不利条件,退税
narcissistically	[]	
synonym	['sɪnənɪm]	n.同义词,同义字
synonyms	[ˈsɪnənɪm]	n.[语]同义词,同义字,同一性（synonym的复数）
peripheral	[pə'rɪf(ə)r(ə)l]	adj.外围的,次要的,（神经）末梢区域的n.外部设备
glyph	[glɪf]	n.字形,图象字符,纵沟纹
grab bag	[]	
seamlessly	['si:mlisli]	adv.无缝地
fallback	['fɔːlbæk]	n.可依靠的东西,后备物品,撤退,退却
mutually	[ˈmjuːtʃuəli]	adv.互相地,互助
ramification	[,ræmɪfɪ'keɪʃ(ə)n]	n.衍生物,分枝,分叉,支流
ad hoc	[,æd'hɔk]	adj.特别的,临时,专设adv.特别地
boil down	[]	
perplex	[pə'pleks]	vt.使困惑,使为难,使复杂化
detour	['diːtʊə]	n.绕道,便道vt.使…绕道而行vi.绕道,迂回n.(Detour)人名,(法)德图尔
stuck	[stʌk]	v.刺（stick的过去式）adj.被卡住的,不能动的n.(Stuck)人名,(德)施图克,(英)斯塔克
succinct	[sək'sɪŋ(k)t]	adj.简洁的,简明的,紧身的
ambiguities	[]	
pitfall	['pɪtfɔːl]	n.陷阱,圈套,缺陷,诱惑
onsite	['ɔnsait]	adj.在场的,就地的
kicks off	[]	
other than	[]	
segregating	['segri,geitiŋ]	vbl.分开
ever since	[]	
wager	['weɪdʒə]	n.赌注,赌博,赌物vi.打赌vt.下赌注n.(Wager)人名,(英)韦杰,(芬、瑞典)瓦格
a rule of thumb	[]	
in this regard	[]	
rampant	['ræmp(ə)nt]	adj.猖獗的,蔓延的,狂暴的,奔放的n.(Rampant)人名,(法)朗庞
amenable	[ə'miːnəb(ə)l]	adj.有责任的：顺从的,服从的,有义务的,经得起检验的
pair up	[]	
deterministic	[dɪ,tɜːmɪ'nɪstɪk]	adj.确定性的,命运注定论的
preclude	[prɪ'kluːd]	vt.排除,妨碍,阻止
complicate	['kɒmplɪkeɪt]	vt.使复杂化,使恶化,使卷入
forgo	[fɔː'gəʊ; fə-]	vi.放弃,停止,对…断念vt.放弃,停止,对…断念[过去式forwent过去分词forgone现在分词forgoing]
readily	['redɪlɪ]	adv.容易地,乐意地,无困难地
stylistic	[staɪ'lɪstɪk]	adj.体裁上的,格式上的,文体论的
piecemeal	['piːsmiːl]	n.片,块adj.零碎的,逐渐的vt.粉碎adv.零碎地,逐个地
interleave	[ɪntə'liːv]	n.[计]交错vt.[计]交错,插空白页于,插叙
laziness	['leɪzɪnɪs]	n.怠惰,无精打采
procrastination	[prə(ʊ),kræstɪ'neɪʃ(ə)n]	n.耽搁,拖延,拖延症
revive	[rɪ'vaɪv]	vt.使复兴,使苏醒,回想起,重演,重播vi.复兴,复活,苏醒,恢复精神
stretch	[stretʃ]	n.(Stretch)人名,(英)斯特雷奇vt.伸展,张开,（大量地）使用,消耗（金钱,时间）,使竭尽所能,使全力以赴,n.伸展,延伸vi.伸展,足够买（或支付）
resurrect	[rezə'rekt]	vt.使复活,复兴,挖出vi.复活
thus far	[]	
demystify	[diː'mɪstɪfaɪ]	vt.使非神秘化,阐明,启发
responsiveness	[ri'spɔnsivnis]	n.响应能力,有同情心
wrap up	[]	
expand on	[]	
blend	[blend]	n.混合,掺合物vi.混合,协调vt.混合
typical	['tɪpɪk(ə)l]	adj.典型的,特有的,象征性的
beneficiary	[benɪ'fɪʃ(ə)rɪ]	n.[金融]受益人,受惠者,封臣adj.拥有封地的,受圣俸的
arcane	[ɑː'keɪn]	adj.神秘的,晦涩难解的,秘传的
due care	[]	
convolute	['kɒnvə,luːt]	v.回旋,盘旋,卷绕adj.回旋状的,旋绕的n.盘旋面
polymorphic	[,pɒlɪ'mɔːfɪk]	adj.[生物]多态的,[生物]多形的,多形态的,[化学]多晶形的（等于polymorphous）
proximity	[prɒk'sɪmɪtɪ]	n.接近,[数]邻近,接近,接近度,距离,亲近
in contrast	[]	
coincidentally	[kəu,insi'dentli]	adv.巧合地,一致地
introspection	[ɪntrə(ʊ)'spekʃ(ə)n]	n.内省,反省
make for	[]	
a sort of	[]	
stuff into	[stuff+into]	把……塞入
underscore	[ʌndə'skɔː]	n.底线,[计]下划线vt.强调,划线于…下
motif	[məʊ'tiːf]	n.主题,动机,主旨,图形,意念
ubiquitous	[juː'bɪkwɪtəs]	adj.普遍存在的,无所不在的
scenarios	[si'na:riəu]	n.情节,脚本,情景介绍（scenario的复数）
on the grounds	[]	
factorial	[fæk'tɔːrɪəl]	n.[数]阶乘adj.因子的,阶乘的
countdown	['kaʊntdaʊn]	n.倒数计秒
in terms of	[]	
summable	['sʌməbl]	adj.可求和的
unwind	[ʌn'waɪnd]	vt.放松,解开,[计]展开vi.放松,解开,松开
summation	[sʌ'meɪʃ(ə)n]	n.和,[生理]总和,合计
traverse	['trævəs; trə'vɜːs]	n.穿过,横贯,横木vt.穿过,反对,详细研究,在…来回移动vi.横越,旋转,来回移动adj.横贯的n.(Traverse)人名,(英)特拉弗斯,(法)特拉韦尔斯
judicious	[dʒʊ'dɪʃəs]	adj.明智的,头脑精明的,判断正确的
come in handy	[]	
generality	[dʒenə'rælɪtɪ]	n.概论,普遍性,大部分
permutation	[pɜːmjʊ'teɪʃ(ə)n]	n.[数]排列,[数]置换
circumvent	[sɜːkəm'vent]	v.包围,智取,绕行,规避
disavow	[dɪsə'vaʊ]	vt.否认,否定,抵赖,拒绝对…的责任
symmetry	['sɪmɪtrɪ]	n.对称（性）,整齐,匀称
generically	[dʒi'nerikəli]	adv.一般地,属类地
wind up	[]	
augment	[ɔːg'ment]	n.增加,增大vt.增加,增大vi.增加,增大
discrete	[dɪ'skriːt]	n.分立元件,独立部件adj.离散的,不连续的
come with	[]	
as a rule of thumb	[]	
emerging	[ɪ'mɝdʒɪŋ]	adj.新兴的,出现的,形成的v.形成,浮现,显露（emerge的ing形式）,由…中脱出
impede	[ɪm'piːd]	vt.阻碍,妨碍,阻止
heterogeneous	[,het(ə)rə(ʊ)'dʒiːnɪəs; -'dʒen-]	adj.[化学]多相的,异种的,[化学]不均匀的,由不同成分形成的
rationale	[,ræʃə'nɑːl]	n.基本原理,原理的阐述
theoretical	[θɪə'retɪk(ə)l]	adj.理论的,理论上的,假设的,推理的
plausible	['plɔːzɪb(ə)l]	adj.貌似可信的,花言巧语的,貌似真实的,貌似有理的
purport	[pə'pɔːt]	n.意义,主旨,意图vt.声称,意图,意指,打算
subverting	[]	
mindset	['maɪn(d)set]	n.心态,倾向,习惯,精神状态
behoove	[bɪ'huːv]	vt.理应,对…有此必要vi.有必要,理所当然n.适宜
trivial	['trɪvɪəl]	adj.不重要的,琐碎的,琐细的
parity	['pærɪtɪ]	n.平价,同等,相等,胎次,分娩
verbose	[vɜː'bəʊs]	adj.冗长的,啰嗦的
syntactically	[sin'tæktikli]	adv.依照句法地,在语句构成上
cursory	['kɜːs(ə)rɪ]	adj.粗略的,草率的,匆忙的
intent	[ɪn'tent]	n.意图,目的,含义adj.专心的,急切的,坚决的
octal	['ɒkt(ə)l]	adj.[数]八进制的
hexadecimal	[,heksə'desɪm(ə)l]	n.十六进制adj.十六进制的
conjunction	[kən'dʒʌŋ(k)ʃ(ə)n]	n.结合,[语]连接词,同时发生
exponential	[,ekspə'nenʃ(ə)l]	n.指数adj.指数的
exponent	[ɪk'spəʊnənt; ek-]	n.[数]指数,典型,说明者,说明物n.倡导者,鼓吹者,代表者,拥护者adj.说明的
stands for	[]	
warrant	['wɒr(ə)nt]	n.根据,证明,正当理由,委任状vt.保证,担保,批准,辩解
come across	[]	
mimic	['mɪmɪk]	vt.模仿,摹拟n.效颦者,模仿者,仿制品,小丑adj.模仿的,模拟的,假装的
substitution	[sʌbstɪ'tjuːʃn]	n.代替,[数]置换,代替物
tangible	['tæn(d)ʒɪb(ə)l]	n.有形资产adj.有形的,切实的,可触摸的
intersect	[ɪntə'sekt]	vt.横断,横切,贯穿vi.相交,交叉
metaphor	['metəfə; -fɔː]	n.暗喻,隐喻,比喻说法
full-blown	[ful'bləun]	adj.成熟的,（花）盛开的,（帆等）张满的
knack	[næk]	n.诀窍,本领,熟练技术,巧妙手法
pallette	['pælɪt]	n.调色板
budget	['bʌdʒɪt]	n.预算,预算费adj.廉价的vt.安排,预定,把…编入预算vi.编预算,做预算
delve	[delv]	n.穴,洞vi.钻研,探究,挖vt.钻研,探究,挖n.(Delve)人名,(英)德尔夫
full-scale	[fʊl'skeɪl]	adj.全面的,完全的,照原尺寸的
virtually	[ˈvəːtʃʊəli]	adv.事实上,几乎,实质上
deviation	[diːvɪ'eɪʃ(ə)n]	n.偏差,误差,背离
continuous	[kən'tɪnjʊəs]	adj.连续的,持续的,继续的,连绵不断的
classifier	['klæsifaiə]	n.[测][遥感]分类器,
unrivaled	[,ʌn'raivəld]	adj.无敌的,至高无上的,无比的
coefficient	[,kəʊɪ'fɪʃ(ə)nt]	n.[数]系数,率,协同因素adj.合作的,共同作用的
resultant	[rɪ'zʌlt(ə)nt]	n.合力,结果,[化学]生成物adj.结果的,合成的
previously	['priviəsli]	adv.以前,预先,仓促地
discriminate	[dɪ'skrɪmɪneɪt]	vi.区别,辨别vt.歧视,区别,辨别
distinctive	[dɪ'stɪŋ(k)tɪv]	adj.有特色的,与众不同的
facet	['fæsɪt; -et]	n.面,方面,小平面vt.在…上琢面
scatterplot	[]	
break down	[]	
in its own right	[]	
granular	['grænjʊlə]	adj.颗粒的,粒状的
fit on	[]	
act on	[]	
pop up	[]	
transpire	[træn'spaɪə; trɑːn-]	vt.使蒸发,使排出vi.发生,蒸发,泄露
recap	['riːkæp]	n.翻新的轮胎vt.翻新胎面,扼要重述
start out	[start+out]	出发,着手进行
pan out	[pan+out]	成功,结果（是）,证明
for that matter	[]	
stand for	[]	
check out	[]	
backport	[]	
operand	['ɒpərænd]	n.[计]操作数,[计]运算对象
short of	[]	
resurface	[riː'sɜːfɪs]	vt.重铺路面,为…铺设新表面vi.重新露面,浮上水面
ternary	['tɜːnərɪ]	adj.[数]三元的,三重的,[数]三进制的,第三的
obscurity	[əb'skjʊərɪtɪ]	n.朦胧,阴暗,晦涩,身份低微,不分明
in nature	[]	
explanatory	[ɪk'splænə,t(ə)rɪ; ek-]	adj.解释的,说明的
apart from this	[]	
hierarchies	['haɪərɑːkɪz]	n.阶层,层级,[数]分层,分类
in a sense	[]	
merits	['mɛrɪts]	n.优点（merit的复数）,功绩,是非曲直
literals	[]	
dichotomy	[daɪ'kɒtəmɪ; dɪ-]	n.二分法,两分,分裂,双歧分枝
showcasing	[]	
